Title	Year	Length	Rating	Action/Animation/Comedy/Drama/Documentary/Romance
Alphabet, The	1968	4	NR	010000
Alphonse and Gaston, No. 3	1903	1	NR	000000
Alpine Antics	1936	7	NR	011000
Alpine Climbers	1936	10	NR	011000
Alpine for You	1951	6	NR	011000
Alpsee	1995	15	NR	000000
Alquimista impaciente, El	2002	111	NR	000000
Alraune	1928	108	NR	000000
Alraune	1952	92	NR	000000
Als Hitchcock in Auerstedt auf Eiermanns Else traf	1999	15	NR	000010
Als Mutter streikte	1974	90	NR	000000
Als es Nacht wurde in Deutschland	1999	8	NR	100100
Als geheilt entlassen	1960	86	NR	001000
Als je begrijpt wat ik bedoel	1983	84	NR	010000
Als twee druppels water	1963	119	NR	000100
Alt Heidelberg	1959	108	NR	000000
Alt for Egil	2004	90	NR	000000
Alt for Norge	2005	92	NR	001010
Alt for kvinden	1964	90	NR	001001
Alt om min far	2002	75	NR	000010
Altair	1994	10	NR	010000
Alte Affe Angst, Der	2003	92	NR	000100
Altered Species	2001	91	R	000000
Altered States	1980	102	NR	000100
Alternate, The	2000	91	NR	100100
Alternative Miss World, The	1980	90	NR	000010
Alternative Therapy	1998	10	NR	001100
Altovaya sonata. Dmitriy Shostakovich	1988	80	NR	000000
Altr'anno e poi cresco, Un	2001	83	NR	000000
Altra vita, Un'	1992	95	NR	000100
Altri tempi	1952	100	NR	001000
Altri uomini	1997	100	NR	000100
Altrimenti ci arrabbiamo	1974	101	NR	101000
Altro inferno, L'	1980	88	NR	000000
Altyn Kyrghol	2001	81	NR	000000
Alucarda, la hija de las tinieblas	1978	85	NR	000000
Alvarez Kelly	1966	116	NR	000000
Alvin Purple	1973	87	NR	001000
Alvin Purple Rides Again	1974	89	NR	001000
Always	1985	105	NR	000101
Always	1989	106	NR	000101
Always Crashing in the Same Car	2004	16	NR	000100
Always Goodbye	1938	75	NR	000100
Always Late	2004	6	NR	000000
Always Leave Them Laughing	1949	108	NR	001000
Always Say Goodbye	1996	98	NR	001001
Always Something Better	1996	90	NR	001100
Always Together	1947	78	NR	001000
Always a Bride	1940	58	NR	001000
Always a Bride	1953	82	NR	001000
Always a Bridesmaid	2000	98	NR	000010
Always for Pleasure	1978	58	NR	000010
Always in My Heart	1942	92	NR	000100
Alye parusa	1961	90	NR	000101
Alyonka	1961	86	NR	001000
Am I Normal?: A Film About Male Puberty	1979	22	NR	011010
Am See	2001	45	NR	000100
Am Tag als Bobby Ewing starb	2005	92	NR	001000
Am Tag, als der Regen kam	1959	88	NR	000000
Amadeus	1984	180	R	000100
Amalfi Way	1955	10	NR	000010
Amanda by Night	1981	95	NR	000000
Amandla! A Revolution In Four Part Harmony	2002	108	PG-13	000010
Amanece, que no es poco	1989	74	NR	001000
Amant de cinq jours, L'	1961	85	NR	001100
Amant de poche, L'	1978	95	NR	001000
Amant, L'	1992	111	R	000101
Amante Muito Louca	1973	95	NR	001000
Amante del vampiro, L'	1960	85	NR	000000
Amante di Gramigna, L'	1969	108	NR	000100
Amante di Paride, L'	1954	97	NR	000100
Amante perduto, L'	1999	97	NR	000100
Amantes	1991	107	NR	000101
Amantes del diablo, Las	1971	89	NR	000000
Amanti	1968	88	NR	000101
Amanti d'oltretomba, Gli	1965	101	NR	000000
Amantide - Scirocco	1987	100	NR	000100
Amants criminels, Les	1999	96	NR	000100
Amants de Montparnasse (Montparnasse 19), Les	1958	108	NR	000100
Amants de Teruel, Les	1962	90	NR	000000
Amants du Nil, Les	2002	90	NR	000101
Amants du Pont-Neuf, Les	1991	125	R	000101
Amants du Tage, Les	1955	109	NR	000101
Amants et voleurs	1935	90	NR	000000
Amants, Les	1958	90	NR	000100
Amar	1954	149	NR	000001
Amar Akbar Anthony	1977	184	NR	101100
Amar te duele	2002	104	R	000101
Amaram	1991	150	NR	000101
Amarcord	1973	127	NR	001100
Amarelo manga	2002	100	NR	000100
Amargosa	2000	93	NR	000010
Amarillo by Morning	1998	29	NR	000010
Amarilly of Clothes-Line Alley	1918	67	NR	001000
Amarsi un po'	1984	93	NR	000101
Amasian: The Amazing Asian	2004	26	NR	001000
Amateur	1994	105	NR	001100
Amateur Hour	1985	85	NR	001000
Amateur, El	1999	101	NR	000100
Amateur, The	1981	112	NR	000000
Amateurs, Les	2003	93	NR	000000
Amati Girls, The	2000	91	PG	000100
Amato: A Love Affair with Opera	2001	66	NR	000010
Amator	1979	112	NR	000100
Amaxaki, To	1957	106	NR	000100
Amazing Adventures of Spider-Man, The	1999	5	NR	000000
Amazing Colossal Man, The	1957	80	NR	000000
Amazing Dobermans, The	1976	96	NR	001000
Amazing Dr. Clitterhouse, The	1938	87	NR	001100
Amazing Grace	1974	99	NR	001000
Amazing Grace and Chuck	1987	114	NR	000100
Amazing Grace: Jeff Buckley	2004	60	NR	000010
Amazing Journeys	1999	40	NR	000010
Amazing Mr. Bickford, The	1987	60	NR	010000
Amazing Mr. Blunden, The	1972	99	NR	000000
Amazing Mr. Nordill, The	1947	11	NR	000000
Amazing Mr. Williams, The	1939	80	NR	001100
Amazing Mr. X, The	1948	78	NR	000000
Amazing Mrs. Holliday, The	1943	96	NR	001100
Amazing Panda Adventure, The	1995	81	PG	000100
Amazing Quest of Ernest Bliss, The	1936	61	NR	001101
Amazing Tails 1	1987	70	NR	000000
Amazing Transparent Man, The	1960	57	NR	000000
Amazing World of Ghosts	1978	91	NR	000010
Amazing World of Psychic Phenomena, The	1976	93	NR	000010
Amazon	1997	38	NR	000010
Amazon Quest	1949	75	NR	100100
Amazon Warrior	1998	83	NR	100000
Amazon Women on the Moon	1987	85	NR	001000
Amazone	2000	88	NR	001000
Amazones	2004	100	NR	101000
Amazones 2000	2000	52	NR	000010
Amazones du temple d'or, Les	1986	85	NR	000000
Amazons	1986	76	NR	100000
Amazons and Gladiators	2001	89	R	100100
Amazzoni - donne d'amore e di guerra, Le	1973	100	NR	100000
Ambassade, L'	1973	20	NR	000100
Ambassador Bill	1931	68	NR	001000
Ambassador's Daughter, The	1956	103	NR	001000
Ambassador, The	1984	97	NR	000100
Ambavi Suramis tsikhitsa	1984	88	NR	000100
Amber	2004	3	NR	000000
Ambizioso, L'	1975	102	NR	000000
Amblin'	1968	26	NR	000000
Ambrose's Nasty Temper	1915	11	NR	001000
Ambrose's Sour Grapes	1915	20	NR	001000
Ambulance, The	1990	91	NR	000000
Ambush	1949	90	NR	000000
Ambush Bay	1966	109	NR	000100
Ambush Trail	1946	60	NR	000000
Ambush at Cimarron Pass	1958	73	NR	000000
Ambush at Tomahawk Gap	1953	73	NR	000000
Ambushed	1998	109	NR	100000
Ambushers, The	1967	109	NR	001000
Amdaeng Muen kab nai Rid	1994	125	NR	000000
Ame agaru	1999	91	NR	000100
Amei um bicheiro	1952	90	NR	000100
Amen.	2002	132	NR	000100
America	1924	93	NR	000100
America 101	2005	86	NR	001000
America 3000	1986	84	NR	100000
America Is Waiting	1981	4	NR	000000
America So Beautiful	2001	91	NR	000100
America a Roma, L'	1998	78	NR	000010
America at the Movies	1976	116	NR	000010
America the Beautiful	1958	16	NR	000010
America the Beautiful	1967	20	NR	000010
America the Beautiful	1975	20	NR	000010
America's Heart and Soul	2004	84	NR	000010
America's Hidden Weapon	1944	10	NR	000010
America's Sweetheart: The Mary Pickford Story	1978	73	NR	000010
America's Sweethearts	2001	102	PG-13	001001
America, America	1963	174	NR	000100
America, Preferred	1941	7	NR	000010
American Adobo	2001	104	R	001000
American Angels: Baptism of Blood	1989	99	NR	000000
American Anthem	1986	102	NR	000100
American Aristocracy	1916	50	NR	001100
American Astronaut, The	2001	91	NR	001000
American Beauty	1999	121	R	000100
American Beauty Pie	2000	8	NR	001000
American Beer	1996	85	NR	000000
American Beer	2004	105	NR	000010
American Bickman Burger, The	2001	18	NR	000000
American Blonde	1994	84	NR	000000
American Blue Note	1989	97	NR	001100
American Born	1991	96	NR	000100
American Boy: A Profile of: Steven Prince	1978	55	NR	000010
American Boyfriends	1989	90	NR	001000
American Buffalo	1996	88	NR	000100
American Chai	2001	92	R	001100
American Commandos	1985	88	NR	100000
American Cowboy	1998	52	NR	000010
American Cyborg: Steel Warrior	1994	94	NR	100000
American Daylight	2004	98	NR	000001
American Desi	2001	100	NR	001101
American Desire	1981	79	NR	000000
American Detective	1999	87	NR	001000
American Dragons	1998	91	R	100000
American Dream	1991	98	NR	000010
American Dream Girls	1987	80	NR	000000
American Dream, An	1966	103	NR	000100
American Dreamer	1984	105	NR	001001
American Dreamer, The	1971	90	NR	000010
American Drive-In	1985	92	NR	001000
American Dummy	2002	28	NR	000000
American Eagle	1989	92	NR	000000
American Empire	1942	82	NR	000000
American Eunuchs	2003	80	NR	000010
American Exile	2001	26	NR	000010
American Fabulous	1991	103	NR	000010
American Fame Pt. 1: Drowning River Phoenix	2004	11	NR	000010
American Flatulators	1995	3	NR	010000
American Flyers	1985	113	NR	000100
American Friends	1991	95	NR	001100
American Gigolo	1980	117	NR	000101
American Gothic	1988	90	NR	000000
American Graffiti	1973	110	NR	001100
American Guerrilla in the Philippines	1950	105	NR	000100
American Gun	2002	89	R	000100
American Heart	1992	113	NR	000100
American History	1992	5	NR	011010
American History X	1998	119	R	000100
American History: Resettlement of Japanese Americans in Greater Cleveland, An	2000	53	NR	000010
American Hollow	1999	90	NR	000010
American Hot Wax	1978	91	NR	000100
American Intellectuals	1999	100	NR	001000
American Jedi	2002	8	NR	001000
American Journeys	1984	21	NR	000010
American Kickboxer	1991	92	NR	100000
American Made	2003	25	NR	000100
American Madness	1932	75	NR	000100
American March	1941	3	NR	000000
American Me	1992	125	NR	000100
American Mod	2002	18	NR	000000
American Movie: The Making of Northwestern	1999	107	R	000010
American Mullet	2001	52	NR	000010
American Mythologies	1981	104	NR	000010
American Nightmare	1983	88	NR	000000
American Nightmare, The	2000	73	NR	000010
American Ninja 2: The Confrontation	1987	90	NR	100100
American Ninja 3: Blood Hunt	1989	89	NR	100000
American Ninja 4: The Annihilation	1991	99	NR	100100
American Ninja V	1993	102	NR	100000
American Nutria	2004	11	NR	000000
American Outlaws	2001	94	PG-13	101000
American Passport	1999	82	NR	000010
American Perfekt	1997	100	R	000100
American Pi	2002	9	NR	001000
American Pictures	1984	115	NR	000010
American Pie	1980	86	NR	000000
American Pie	1999	95	R	001000
American Pie 2	2001	105	R	001000
American Pop	1981	96	NR	010100
American President, The	1995	114	PG-13	001101
American Psycho	2000	102	R	000100
American Raspberry	1977	75	NR	001000
American Rhapsody, An	2001	106	PG-13	000100
American Road, The	1953	37	NR	000010
American Romance, An	1944	151	NR	000100
American Roulette	1988	102	NR	000000
American Saint	2001	90	NR	000000
American Scream, The	1988	85	NR	001000
American Shaolin	1991	106	NR	100000
American Short	2004	35	NR	000110
American Splendor	2003	101	R	001100
American Spoken Here	1940	11	NR	000000
American Standoff	2002	95	NR	000010
American Storytellers	2003	90	NR	000010
American Strays	1996	97	R	101000
American Success Company, The	1980	91	NR	001100
American Summer, An	1991	100	NR	001100
American Taboo	1982	94	NR	000100
American Tail, An	1986	80	NR	011100
American Tail: Fievel Goes West, An	1991	75	NR	011000
American Tickler	1976	77	NR	001000
American Tigers	1996	95	NR	100000
American Tragedy, An	1931	96	NR	000101
American Vampire Story, An	1997	99	PG-13	001000
American Virgin	2000	88	R	001000
American Waitress, New Mexico	2002	66	NR	000010
American Wedding	2003	103	R	001000
American Werewolf in London, An	1981	92	NR	001001
American Werewolf in Paris, An	1997	105	R	001001
American Yakuza	1993	96	NR	100000
American Yearbook	2004	90	NR	000000
American in Paris, An	1951	113	NR	000001
Americaner Shadchen	1940	87	NR	001001
Americanization of Emily, The	1964	115	NR	001100
Americano	2005	95	NR	001001
Americano a Roma, Un	1954	94	NR	001000
Americano in vacanza, Un	1946	110	NR	000000
Americano rosso	1991	98	NR	001000
Americano, The	1916	50	NR	001001
Americano, The	1955	85	NR	000000
Americanos: Latino Life in the United States	2000	81	NR	000010
Americathon	1979	86	NR	001000
Ameriikan raitti	1990	120	NR	001000
Amerika	1994	90	NR	000100
Amerika	2000	60	NR	000000
Amerikai anzix	1975	91	NR	000100
Amerikanische Freund, Der	1977	127	NR	000100
Amerikanische Soldat, Der	1970	80	NR	000100
Amerikanskaya doch	1995	98	NR	001000
Amerikanskiy dedushka	1993	80	NR	001000
Ameta	1903	1	NR	000000
Ami de Vincent, L'	1983	90	NR	001100
Ami de mon amie, L'	1987	103	NR	001000
Amic/Amat	1999	90	NR	000100
Amiche del cuore, Le	1992	110	NR	000100
Amiche, Le	1955	104	NR	000100
Amici ahrarara	2001	95	NR	001000
Amici miei	1975	140	NR	001000
Amici miei atto II	1982	130	NR	001000
Amici miei atto III	1985	110	NR	000000
Amici per la pelle	1955	94	NR	001100
Amico d'infanzia, L'	1994	100	NR	000000
Amico del cuore, L'	1998	100	NR	001000
Amico del padrino, L'	1972	90	NR	100100
Amida-do dayori	2002	127	NR	000100
Amies de ma femme, Les	1993	90	NR	001000
Amiga, La	1988	110	NR	000100
Amigos	1999	21	NR	000100
Amigos, Los	1972	91	NR	000000
Amis, Les	1970	100	NR	000100
Amistad	1997	152	R	000100
Amityville 3-D	1983	105	NR	000000
Amityville Horror, The	1979	117	NR	000100
Amityville Horror, The	2005	90	R	000000
Amityville II: The Possession	1982	100	NR	000000
Amleto di meno, Un	1973	70	NR	000000
Ammazzali tutti e torna solo	1968	89	NR	000000
Ammoru	1995	129	NR	000000
AmnesiA	2001	90	NR	001100
Amnesia	1994	90	NR	000100
Amnesia	2000	14	NR	000000
Amo tu cama rica	1992	95	NR	001000
Amok	1934	92	NR	000000
Amok	1993	90	NR	001100
Amok	1998	100	NR	000000
Amoklauf	1992	65	NR	000000
Among Giants	1998	93	R	001001
Among Men	1991	80	NR	000100
Among Others	2000	18	NR	000100
Among Thieves	2004	27	NR	000100
Among Those Present	1921	35	NR	001000
Among the Cinders	1983	104	NR	000100
Among the Living	1941	67	NR	000100
Amongst Friends	1993	86	NR	000100
Amor	2000	12	NR	000000
Amor & Alquimia	1995	22	NR	001001
Amor & Cia	1998	102	NR	000000
Amor - primera parte, El	2004	110	NR	000000
Amor Natural, O	1997	76	NR	000010
Amor a la vuelta de la esquina	1985	95	NR	000000
Amor bandido	1979	95	NR	000100
Amor brujo, El	1967	103	NR	000100
Amor brujo, El	1986	108	NR	000100
Amor de Don Juan, El	1956	93	NR	001000
Amor en concreto	2003	102	NR	000100
Amor en el aire	1967	100	NR	001000
Amor es una mujer gorda, El	1987	82	NR	000100
Amor estranho Amor	1982	120	NR	000100
Amor idiota	2004	104	NR	001000
Amor libre	1978	97	NR	001000
Amor nello specchio	1999	104	NR	000100
Amor perjudica seriamente la salud, El	1996	117	NR	001001
Amor propio	1994	111	NR	000100
Amor vertical	1997	100	NR	000000
Amor y el espanto, El	2001	110	NR	000100
Amor y sexo	1964	110	NR	000100
Amor!	1994	14	NR	000000
Amor, curiosidad, prozak y dudas	2001	99	NR	001000
Amore a Roma, Un	1960	113	NR	000101
Amore amaro	1974	106	NR	000000
Amore di Marja, L'	2002	102	NR	000100
Amore difficile, L'	1962	125	NR	001000
Amore imperfetto, L'	2002	92	NR	000100
Amore in prima classe	1979	95	NR	001000
Amore in quattro dimensioni	1964	105	NR	001000
Amore mio aiutami	1969	124	NR	000000
Amore molesto, L'	1995	104	NR	000100
Amore necessario, L'	1991	90	NR	000000
Amore primitivo, L'	1964	83	NR	001000
Amore probabilmente, L'	2001	107	NR	000000
Amore ritorna, L'	2004	111	NR	001100
Amore ritrovato, L'	2004	98	NR	000101
Amore sporco	1988	95	NR	000100
Amore tossico	1983	90	NR	000000
Amore!	1993	90	NR	001000
Amore, L'	1948	79	NR	000100
Amore, piombo e furore	1978	98	NR	000000
Amores	1998	100	NR	000100
Amores de Kafka, Los	1988	98	NR	000101
Amores perros	2000	153	R	000100
Amores que matan	1996	90	NR	000000
Amores que matan	2000	20	NR	000100
Amori di Ercole, Gli	1960	98	NR	000000
Amori in corso	1989	82	NR	001000
Amorosa	1986	117	NR	000100
Amorosas, As	1968	100	NR	000101
Amorous Adventures of Don Quixote and Sancho Panza, The	1976	104	NR	001000
Amorous Adventures of Moll Flanders, The	1965	126	NR	001000
Amorous Prawn, The	1962	89	NR	001000
Amors bilar	1988	65	NR	000010
Amos & Andrew	1993	92	NR	001100
Amour Infinity	2000	85	NR	000100
Amour aux sports d'hiver, L'	1981	73	NR	000000
Amour avec des si, L'	1962	85	NR	000000
Amour braque, L'	1985	101	NR	000101
Amour c'est gai, l'amour c'est triste, L'	1971	95	NR	001000
Amour d'enfance	2001	102	NR	000100
Amour d'une femme, L'	1954	104	NR	000100
Amour de la vie - Artur Rubinstein, L'	1969	89	NR	000010
Amour en douce, L'	1985	100	NR	000000
Amour en fuite, L'	1979	94	NR	001101
Amour en question, L'	1978	100	NR	000000
Amour et confusions	1997	105	NR	000000
Amour existe, L'	1960	21	NR	000010
Amour fou, L'	1969	252	NR	000100
Amour par terre, L'	1984	125	NR	001100
Amour, L'	1970	88	NR	000100
Amour, L'	1990	80	NR	000101
Amour, l'argent, l'amour, L'	2000	137	NR	000101
Amoureuse	1992	99	NR	000000
Amoureuse, L'	1987	98	NR	000101
Amoureuses, Les	1993	99	NR	000100
Amoureux sont seuls au monde, Les	1948	105	NR	000100
Amoureux, Les	1994	90	NR	000101
Amphitryon	1935	105	NR	001000
Amplifier	1999	10	NR	000000
Amputee, The	1974	9	NR	000100
Amsterdam Affair	1968	100	NR	000000
Amsterdam Global Village	1996	245	NR	000010
Amsterdam Kill, The	1977	90	NR	100100
Amsterdamned	1988	114	NR	100000
Amu	2005	102	NR	000100
Amuleto de Ogum, O	1974	112	NR	000100
Amulett des Todes, Das	1975	80	NR	000000
Amuse-gueule	1984	28	NR	010000
Amy	1981	100	NR	000100
Amy	1997	9	NR	000000
Amy	1998	104	PG-13	001100
Amy Muller	1896	1	NR	000010
Amy's Orgasm	2001	87	R	001001
An 01, L'	1973	90	NR	001000
An Bloem	1983	83	NR	000100
An eheis tyhi	1964	95	NR	001000
An heiligen Wassern	1960	109	NR	000100
An itan to violi pouli	1984	78	NR	001000
An ju	1997	100	NR	000100
An-Magritt	1969	100	NR	000100
Ana y los lobos	1973	102	NR	000100
Ana y los otros	2002	80	NR	000100
Anacardium	2001	94	NR	000100
Anaconda	1997	89	NR	100000
Anacondas: The Hunt for the Blood Orchid	2004	97	PG-13	000000
Anacoreta, El	1976	108	NR	000000
Anahy de las Misiones	1997	107	NR	000000
Anak	2000	120	NR	000100
Anal Intruder 2	1988	69	NR	000000
Anal Intruder 3	1989	73	NR	000000
Analfabeto, El	1961	128	NR	001000
Analyze That	2002	96	R	001000
Analyze This	1999	109	R	001000
Anam	2001	86	NR	000100
Ananas	1984	76	NR	000000
Anand	1970	122	NR	000100
Anansi	2002	80	NR	000100
Anantaram	1987	125	NR	000000
Anaparastassi	1970	100	NR	000100
Anarchist Cookbook, The	2002	101	R	001101
Anarchy TV	1998	87	R	001000
Anari	1959	166	NR	001001
Anarkali	1953	175	NR	000001
Anastasia	1956	105	NR	000100
Anastasia	1997	94	NR	010000
Anastasia - Die letzte Zarentochter	1956	107	NR	000100
Anastasia mio fratello ovvero il presunto capo dell'Anonima Assassini	1973	87	NR	001000
Anata-ga suki desu, dai suki desu	1994	58	NR	000100
Anatahan	1954	94	NR	000100
Anatomia milosci	1972	92	NR	000000
Anatomie	2000	103	R	000000
Anatomie 2	2003	101	R	000000
Anatomie de l'enfer	2004	87	NR	000100
Anatomist, The	1961	73	NR	001000
Anatomy of Desire	1995	48	NR	000010
Anatomy of a Fight	2003	80	NR	001100
Anatomy of a Murder	1959	160	NR	000100
Anatomy of a Psycho	1961	75	NR	000100
Anatra all'arancia, L'	1975	105	NR	001000
Anayurt Oteli	1987	110	NR	000100
Anazahevun	2000	132	R	000000
Anazapta	2001	105	NR	000100
Anazitisi	1972	89	NR	000000
Anbe Sivam	2003	160	NR	001100
Anche gli angeli mangiano fagioli	1973	111	NR	101000
Anche gli angeli tirano di destro	1974	111	NR	001000
Anche i commercialisti hanno un'anima	1994	110	NR	001000
Anche nel west c'era una volta Dio	1968	105	NR	000000
Anchor Zone	1994	82	NR	000000
Anchoress	1993	106	NR	000100
Anchorman: The Legend of Ron Burgundy	2004	104	PG-13	001000
Anchors Aweigh	1945	143	NR	001001
Anciens de Saint-Loup, Les	1950	90	NR	000000
Ancient Evil: Scream of the Mummy	2000	96	R	000000
Ancient Fistory	1953	7	NR	011000
Ancient Warriors	2001	93	R	100000
And Baby Makes Three	1949	84	NR	001001
And But So Then	2002	27	NR	000100
And God Created Woman	1988	100	NR	001101
And I Lived	2005	107	NR	000100
And Now Miguel	1966	95	NR	000100
And Now Tomorrow	1944	86	NR	000100
And Now for Something Completely Different	1971	85	NR	001000
And Now the Screaming Starts!	1973	91	NR	000000
And Now... Ladies and Gentlemen...	2002	122	PG-13	000101
And One Was Beautiful	1940	70	NR	000100
And She Learned About Dames	1934	9	NR	000000
And She Smiled	1996	21	NR	000100
And So It Goes...	2002	20	NR	000000
And Soon the Darkness	1970	94	NR	000000
And Then Came Summer	2000	115	NR	000100
And Then There Were None	1945	97	NR	000100
And Then There Were None	1974	98	NR	000100
And Then You Die	1987	115	NR	000000
And You Thought Your Parents Were Weird	1991	92	NR	001000
And the Angels Sing	1944	96	NR	001001
And the Same to You	1960	70	NR	001000
Anda, corre, vuela	1995	90	NR	000000
Andalousie	1951	94	NR	000000
Andanggaman	2000	90	NR	000100
Andaz	1949	142	NR	000101
Andaz	1971	166	NR	001100
Andaz Apna Apna	1994	160	NR	001000
Andel Exit	2000	100	NR	000000
Andelske oci	1993	90	NR	001000
Ander Eta Yul	1989	90	NR	000000
Anderland	2003	25	NR	000100
Anders als du und ich	1957	91	NR	000100
Anderson Tapes, The	1971	98	NR	000100
Anderson Unbound	1999	17	NR	101000
Anderssonskans Kalle	1950	87	NR	001000
Anderssonskans Kalle	1972	102	NR	000000
Anderssonskans Kalle i busform	1973	85	NR	000000
Andi Ommsen ist der letzte Lude	2003	90	NR	000000
Andjele moj dragi	1996	100	NR	000000
Andjeo cuvar	1987	90	NR	000100
Ando volando bajo	1959	110	NR	000100
Andoromedeia	1998	109	NR	000101
Andra dansen	1983	95	NR	000000
Andra sidan	2003	11	NR	000100
Andre	1994	94	NR	000100
Andre skiftet, Det	1978	77	NR	000100
Andrea - Wie ein Blatt auf nackter Haut	1968	90	NR	000100
Andreaskorset	2004	103	NR	001001
Andrew and Jeremy Get Married	2004	75	NR	000010
Androcles and the Lion	1952	98	NR	001000
Android	1983	80	NR	000000
Andromeda Strain, The	1971	131	NR	000000
Andromina: The Pleasure Planet	1999	92	R	000000
Andy	1965	86	NR	000100
Andy	1985	73	NR	000000
Andy Colby's Incredible Adventure	1988	75	NR	000000
Andy Hardy Comes Home	1958	80	NR	001100
Andy Hardy Gets Spring Fever	1939	85	NR	001100
Andy Hardy Meets Debutante	1940	88	NR	001000
Andy Hardy's Blonde Trouble	1944	107	NR	001000
Andy Hardy's Dilemma: A Lesson in Mathematics... and Other Things	1938	19	NR	000000
Andy Hardy's Double Life	1942	92	NR	001100
Andy Hardy's Private Secretary	1941	101	NR	001000
Andy Warhol	1987	76	NR	000010
Andy in Love	2004	11	NR	000100
Andy, bloed en blond haar	1979	90	NR	000100
Anekdoty	1990	78	NR	001000
Ang wan nyn mung	1999	83	NR	000000
Ang.: Lone	1970	97	NR	000100
Angae	1967	95	NR	000000
Ange de Goudron, L'	2001	100	NR	000100
Ange et la femme, L'	1977	88	NR	000100
Ange noir, L'	1994	95	NR	000100
Ange, L'	1982	70	NR	000000
Angel	1937	91	NR	001100
Angel	1966	7	NR	000000
Angel	1984	94	NR	100000
Angel 4: Undercover	1993	94	NR	100100
Angel Above, the Devil Below, The	1975	83	NR	000000
Angel Baby	1961	97	NR	000100
Angel City	1976	75	NR	000000
Angel Express	1999	82	NR	000100
Angel Eyes	1993	84	NR	000100
Angel Eyes	2001	102	R	000101
Angel Face	1952	91	NR	000100
Angel Heart	1987	113	NR	000000
Angel Hill: l'ultima missione	1988	80	NR	100000
Angel III: The Final Chapter	1988	100	NR	100100
Angel Mine	1978	66	NR	000000
Angel Puss	1944	7	NR	011000
Angel Rising	1988	72	NR	000000
Angel Square	1990	104	NR	000000
Angel Town	1990	102	NR	100000
Angel Unchained	1970	92	PG-13	100100
Angel Who Pawned Her Harp, The	1954	76	NR	001000
Angel Wore Red, The	1960	99	NR	100101
Angel and Big Joe	1975	27	NR	000000
Angel and the Badman	1947	100	NR	000001
Angel at My Table, An	1990	158	NR	000100
Angel for May, An	2002	95	NR	000100
Angel from Texas, An	1940	69	NR	001000
Angel in Exile	1948	60	NR	000100
Angel in My Pocket	1969	105	NR	001000
Angel in Training	1999	89	NR	000000
Angel of Destruction	1994	86	NR	100000
Angel of Fury	1992	77	NR	100000
Angel of H.E.A.T.	1982	93	NR	100000
Angel of Mercy	1939	10	NR	000100
Angel of the Island	1989	50	NR	000000
Angel on Fire	1974	75	NR	000000
Angel on My Shoulder	1946	100	NR	001001
Angel on My Shoulder	1997	85	NR	000010
Angel on the Amazon	1948	60	NR	000000
Angel with the Trumpet, The	1950	98	NR	000100
Angel's Dance	1999	101	R	101000
Angel, Angel, Down We Go	1969	93	NR	000100
Angela	1978	91	NR	000100
Angela	1995	99	NR	000100
Angela	2000	28	NR	000000
Angela	2002	91	R	000101
Angela & Viril	1993	2	NR	000100
Angela Mooney	1996	86	NR	000100
Angela's Ashes	1999	145	NR	000100
Angelfist	1993	80	NR	100000
Angeli	2002	15	NR	010000
Angeli bianchi... angeli neri	1970	82	NR	000010
Angelic Conversation, The	1985	78	NR	000100
Angelitos negros	1948	100	NR	000100
Angelitos negros	1970	105	NR	000101
Angelo Anda Sumido	1997	17	NR	000000
Angelo My Love	1983	115	NR	000100
Angelo con la pistola, L'	1992	111	NR	000100
Angelo per Satana, Un	1966	90	NR	000000
Angelo, Fredo et Romeo	1996	82	NR	001000
Angelochek sdelay radost	1993	88	NR	000100
Angelos	1982	126	NR	000100
Angels	1976	90	NR	001000
Angels & Insects	1995	116	R	000101
Angels Die Hard	1970	86	NR	100000
Angels Don't Sleep Here	2001	90	NR	000000
Angels Hard as They Come	1971	85	NR	100100
Angels Over Broadway	1940	78	NR	000100
Angels Wash Their Faces, The	1939	86	NR	000100
Angels from Hell	1968	86	NR	100000
Angels in Disguise	1949	63	NR	001100
Angels in the Attic	1998	86	PG	000000
Angels in the Outfield	1951	99	NR	001000
Angels in the Outfield	1994	102	NR	001100
Angels of the City	1990	89	NR	100000
Angels with Broken Wings	1941	53	NR	000000
Angels with Dirty Faces	1938	97	NR	000100
Angels!	2000	86	NR	001000
Angels' Alley	1948	67	NR	001100
Angels' Brigade	1979	97	NR	101000
Angels' Wild Women	1972	82	NR	100000
Angelus	2000	110	NR	000000
Angeluz	1998	100	NR	000000
Angely v rayu	1993	122	NR	000100
Anger Management	2003	106	PG-13	001000
Anges gardiens, Les	1995	110	NR	101000
Angi Vera	1979	96	NR	000100
Angie	1993	93	NR	000000
Angie	1994	107	NR	001101
Angkor: Cambodia Express	1982	90	NR	100100
Anglaise et le duc, L'	2001	125	PG-13	000100
Angoisse	1998	5	NR	000000
Angora Love	1929	21	NR	001000
Angry Breed, The	1968	89	NR	000100
Angry Hills, The	1959	105	NR	000100
Angry Red Planet, The	1960	83	NR	000000
Angry Silence, The	1960	95	NR	000100
Angry and Moist: An Undead Chronicle	2004	25	NR	001000
Angst	2000	86	NR	001000
Angst des Tormanns beim Elfmeter, Die	1972	101	NR	000000
Angst essen Seele auf	1974	94	NR	000101
Anguilla da trecento milioni, Un'	1971	109	NR	001000
Angus	1995	90	PG-13	001100
Angustia	1987	89	NR	000000
Ani Ohev Otach Rosa	1972	77	NR	000000
